Iteration   Cost 	fice_1 	fice_2 	fice_3 	fice_4 	fice_5 	fice_6 	fice_7 	fice_8 	fice_9 	fice_10 	fice_11 	fice_12 	fice_13 	fice_14 	fice_15 	fice_16 	fice_17 	fice_18 	fice_19 	fice_20 	vis_1 	vis_2 	vis_3 	vis_4 	vis_5 	vis_6 	vis_7 	vis_8 	vis_9 	vis_10 	vis_11 	vis_12 	vis_13 	vis_14 	vis_15 	vis_16 	vis_17 	vis_18 	vis_19 	vis_20 	vis_21 	vis_22
43 	2816145.399241763 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0
44 	2053473.4551429378 	0.02112879621628129 	0.06706718150781889 	0.015230980642013808 	0.05812093825045331 	0.054517656302178176 	0.006659798007762685 	0.010127856607404624 	0.02254615390734127 	0.06384355987754779 	0.05007354957947294 	0.013589446158259383 	0.07091796002964942 	0.06692779418062621 	0.12989347726660744 	0.023553132260101847 	0.03539541425883229 	0.05724236419830984 	0.05461046653873002 	0.05158600715472487 	0.0151838702137971 	-0.2591396388944602 	0.5127995091857143 	0.19653848624006143 	0.32570189548129425 	0.5733688683032586 	0.5497433830996094 	0.1518183679629041 	0.12953974665607393 	-0.33404803955825546 	-0.9999999999999997 	-1.0000000000000002 	-0.6681738800597986 	-0.9999999999999998 	-1.0 	-1.0000000000000047 	-0.02719443934111173 	-0.9999999999999994 	-0.9999999999999998 	-1.0000000000000016 	-0.9999999999999988 	0.03743583545105242 	0.3501712879157061
45 	2034805.4775858026 	0.008650058139690525 	0.0896442681904442 	0.002012329645089414 	0.08166416263850529 	0.07008302160984343 	-0.01126691703054909 	-0.00783724721050968 	0.017144533736352507 	0.08301085200566116 	0.05777667347146755 	-5.475541956511609E-4 	0.09167080259065039 	0.09608458014649118 	0.20906655887227962 	0.014990088079532664 	0.04798774110680232 	0.07259709423956194 	0.07879073002609273 	0.06334453881514582 	-0.002108030012016065 	-0.7000554954189137 	0.6789290589130659 	0.08169077552263355 	0.32879659894951757 	0.7295193016768324 	0.6614017243847149 	0.06410601683774098 	0.005021340377453373 	-0.7530492020293895 	-0.9999999999999988 	-1.0 	-0.9999999999999998 	-0.9999999999999994 	-0.9999999999999997 	-1.000000000000014 	-0.43495775851041346 	-0.999999999999999 	-0.9999999999999999 	-1.0000000000000049 	-0.9999999999999994 	-0.34105114492114774 	0.3290676135776791
46 	2029768.7416921554 	-0.004828571979573203 	0.10367689661912227 	-0.012725808594101263 	0.09877529324569975 	0.08123424103224358 	-0.025203420043489817 	-0.024609187551874974 	0.014050966498824126 	0.09023004594223075 	0.0657692776194249 	-0.009796303423918015 	0.10260531712696311 	0.11210745087159213 	0.2620776095353746 	0.007593920531514807 	0.05972159364131849 	0.08321644202254032 	0.09398066574242733 	0.06843409721183268 	-0.008186729041118671 	-0.980885282851455 	0.778923550391354 	0.007866447111029061 	0.3073539208033448 	0.8594612181862564 	0.7891103206344884 	-0.0985075834887417 	-0.06995287121837807 	-0.9999999999999996 	-0.9999999999999998 	-0.9999999999999998 	-1.000000000000003 	-1.0 	-1.0000000000000004 	-1.0000000000000173 	-0.7157233332470291 	-1.000000000000002 	-1.000000000000001 	-1.0000000000000098 	-0.9999999999999998 	-0.5785716370382813 	0.30555461882519863
47 	2028449.444229929 	-0.018313880873680743 	0.11450137122955642 	-0.025379995233885715 	0.11308590867891506 	0.0923560962036282 	-0.03868663475585169 	-0.04119774572372022 	0.009066866908245276 	0.09404729011893374 	0.06998515362725982 	-0.015367554701949223 	0.114680663806449 	0.12283271307622207 	0.30669918526031703 	-0.001191082150972642 	0.0630954153433853 	0.08921839655477344 	0.10607999947112305 	0.0726297976983943 	-0.01924770236643117 	-0.9999999999999966 	0.8525602544405625 	-0.09515544329019636 	0.29038953041690846 	0.9793025834361189 	0.8656542839672613 	-0.23910659741806595 	-0.1137303991916844 	-0.9999999999999969 	-0.9999999999999988 	-0.9999999999999989 	-1.0000000000000262 	-0.9999999999999997 	-1.000000000000003 	-1.000000000000015 	-0.9634782650857481 	-1.0000000000000095 	-1.0000000000000087 	-1.0000000000000073 	-0.9999999999999991 	-0.825062208457418 	0.28186601946219697
48 	2025307.3588026955 	-0.02767013227765457 	0.1201857924679554 	-0.03670165229098695 	0.12317042580002871 	0.1010575685970815 	-0.050534089728001094 	-0.05137161428816161 	0.005001339406993175 	0.09859948157467666 	0.0706767193062253 	-0.024265499262250873 	0.12331302791968791 	0.1318349659448922 	0.33757506353190303 	-0.008783003349443534 	0.0659900821981862 	0.09394514943288726 	0.11358377246441577 	0.07505566453282904 	-0.026063618070526297 	-0.9999999999999978 	0.8976047240497254 	-0.17718202142669304 	0.2645732392715276 	1.057286809054327 	0.9245993383345709 	-0.3472686993450539 	-0.17340287234699348 	-0.9999999999999976 	-0.9999999999999969 	-0.9999999999999978 	-1.0000000000001545 	-0.9999999999999982 	-1.0000000000000058 	-1.0000000000000147 	-0.9999999999999986 	-1.0000000000000513 	-1.0000000000000537 	-1.0000000000000062 	-0.999999999999997 	-0.9999999999999973 	0.2637319957688817
49 	2025837.3356651333 	-0.03502482344972051 	0.1272719353132179 	-0.04683048224356499 	0.13089338302946166 	0.1051422608722025 	-0.0582703890173022 	-0.061675538707630914 	-9.970588165863546E-4 	0.10112714140567025 	0.07207761688010712 	-0.031436297909784694 	0.1298265176158365 	0.13898784027954544 	0.3636767414053442 	-0.01623691979162377 	0.06734260576026374 	0.098777053350475 	0.11922572043469441 	0.07649780241418873 	-0.03327778518224161 	-1.0 	0.9275725719818338 	-0.2419323667615553 	0.24036130961664157 	1.1052447726701728 	0.9635659305609742 	-0.45369691942076007 	-0.24045454278994213 	-1.0000000000000002 	-1.0000000000000007 	-0.9999999999999994 	-1.0000000000006573 	-0.9999999999999994 	-1.0000000000000033 	-1.0000000000000162 	-1.0000000000000007 	-1.000000000000178 	-1.0000000000002196 	-1.0000000000000078 	-1.0000000000000009 	-0.999999999999999 	0.24860353801563473
50 	2025007.0661398168 	-0.03134747786368754 	0.12372886389058665 	-0.041766067267275976 	0.1270319044147452 	0.10309991473464197 	-0.054402239372651644 	-0.05652357649789625 	0.002002140295203408 	0.09986331149017343 	0.0713771680931662 	-0.02785089858601779 	0.1265697727677622 	0.1354114031122188 	0.3506259024686238 	-0.012509961570533653 	0.06666634397922495 	0.09636110139168112 	0.11640474644955506 	0.07577673347350888 	-0.029670701626383952 	-0.9999999999999988 	0.9125886480157795 	-0.20955719409412416 	0.25246727444408457 	1.08126579086225 	0.9440826344477726 	-0.40048280938290715 	-0.20692870756846782 	-0.9999999999999986 	-0.9999999999999983 	-0.9999999999999983 	-1.000000000000406 	-0.999999999999999 	-1.0000000000000042 	-1.0000000000000155 	-0.9999999999999994 	-1.0000000000001148 	-1.0000000000001366 	-1.000000000000007 	-0.9999999999999986 	-0.9999999999999979 	0.25616776689225806
51 	2021715.4473560979 	-0.04104056751524353 	0.13016539050531428 	-0.05374562512004975 	0.13563561239592262 	0.10667434683623137 	-0.06536275617782748 	-0.06978117277677767 	-0.005441551577457588 	0.10391291790317791 	0.07305538382074774 	-0.036013681528036884 	0.13356771922560962 	0.14402570340648824 	0.382345729297143 	-0.02131425676138496 	0.06939206603520442 	0.10126161454646006 	0.12453667351586137 	0.07722680785868526 	-0.037465286396824074 	-0.9999999999999998 	0.9571791171333637 	-0.28448699557257445 	0.2178302855513873 	1.1421904999446009 	1.013308753568828 	-0.5202028579860491 	-0.2792528379200549 	-1.0000000000000002 	-0.9999999999999999 	-1.0000000000000002 	-1.0000000000009523 	-1.0000000000000009 	-1.0000000000000047 	-1.0000000000000173 	-1.0000000000000007 	-1.0000000000002551 	-1.0000000000000566 	-1.0000000000000087 	-1.0000000000000013 	-1.0000000000000007 	0.23104744003326638
52 	2022422.3642493682 	-0.048694582462893085 	0.13621173496449152 	-0.0621713661141722 	0.14252366729516264 	0.1118280424223253 	-0.07414959747738209 	-0.08012020683376338 	-0.011842442491082227 	0.10727467028957192 	0.07327826370239424 	-0.0407719310244048 	0.13928700430934743 	0.1501520824623132 	0.4075046842808176 	-0.027364213896315385 	0.07115213850870859 	0.10589299141225332 	0.1295753841427158 	0.07695964633449069 	-0.04576389829893777 	-0.9999999999999999 	0.9835624370466641 	-0.3481318813994116 	0.18421895210059142 	1.1897604451197852 	1.0691891608009276 	-0.5961403161654308 	-0.34811385082751534 	-1.0000000000000002 	-0.9999999999999998 	-1.0000000000000009 	-1.0000000000019216 	-1.0000000000000013 	-1.000000000000006 	-1.0000000000000187 	-1.0000000000000047 	-1.0000000000001166 	-1.00000000000006 	-1.00000000000001 	-1.0000000000000058 	-1.0000000000000004 	0.2264196096144684
53 	2026587.937384455 	-0.0448675749890683 	0.13318856273490293 	-0.05795849561711098 	0.13907963984554264 	0.10925119462927835 	-0.06975617682760478 	-0.07495068980527053 	-0.008641997034269907 	0.10559379409637487 	0.073166823761571 	-0.038392806276220846 	0.13642736176747852 	0.1470888929344008 	0.39492520678898035 	-0.02433923532885016 	0.07027210227195646 	0.1035773029793567 	0.12705602882928865 	0.077093227096588 	-0.041614592347880924 	-0.9999999999999997 	0.9703707770900141 	-0.31630943848599297 	0.2010246188259894 	1.1659754725321934 	1.0412489571848778 	-0.5581715870757401 	-0.31368334437378514 	-1.0 	-0.9999999999999999 	-1.0000000000000007 	-1.000000000001437 	-1.0000000000000016 	-1.0000000000000058 	-1.0000000000000175 	-1.0000000000000027 	-1.0000000000001854 	-1.000000000000058 	-1.000000000000009 	-1.000000000000004 	-1.000000000000001 	0.22873352482386738
54 	2022145.066853196 	-0.04295407125215592 	0.1316769766201086 	-0.05585206036858038 	0.13735762612073268 	0.10796277073275484 	-0.06755946650271612 	-0.07236593129102409 	-0.007041774305863746 	0.10475335599977643 	0.07311110379115936 	-0.03720324390212887 	0.13499754049654408 	0.14555729817044452 	0.38863546804306165 	-0.02282674604511757 	0.06983208415358048 	0.10241945876290837 	0.12579635117257498 	0.0771600174776366 	-0.0395399393723525 	-1.0000000000000002 	0.9637749471116892 	-0.3003982170292837 	0.2094274521886883 	1.1540829862383966 	1.0272788553768526 	-0.5391872225308946 	-0.2964680911469199 	-1.0000000000000007 	-1.0000000000000002 	-1.0000000000000007 	-1.0000000000011944 	-1.0000000000000013 	-1.0000000000000044 	-1.0000000000000175 	-1.000000000000002 	-1.000000000000221 	-1.0000000000000577 	-1.0000000000000087 	-1.0000000000000024 	-1.0000000000000007 	0.22989048242856688
